rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
7.15E-01,5.39E+19,3.54E+19,914.11672,977.50595,28033.422,1.83E+19,0.025,0.25997278,0.21938612,-2051.0026,103716.41,-2.2374477
7.20E-01,5.40E+19,3.54E+19,904.90506,969.18549,27853.878,1.83E+19,0.025,0.2570098,0.21711459,-2094.3342,103232.88,-2.0265629
7.25E-01,5.41E+19,3.55E+19,895.74074,960.88054,27639.532,1.84E+19,0.025,0.25372314,0.2147213,-2138.2842,102752.29,-1.8276199
7.30E-01,5.42E+19,3.55E+19,886.63994,952.59717,27419.695,1.84E+19,0.025,0.25056359,0.21257104,-2182.8242,102273.57,-1.6437224
7.35E-01,5.42E+19,3.56E+19,877.5776,944.32729,27199.556,1.85E+19,0.025,0.24723825,0.21038887,-2227.9737,101795.52,-1.4776915
7.40E-01,5.43E+19,3.57E+19,868.58323,936.06693,26980.644,1.85E+19,0.025,0.24393503,0.20837636,-2273.7529,101318.98,-1.3294587
7.45E-01,5.44E+19,3.57E+19,859.64591,927.81666,26759.148,1.85E+19,0.025,0.24038304,0.2062599,-2320.1663,100843.23,-1.196623
7.50E-01,5.45E+19,3.58E+19,850.76726,919.57011,26529.808,1.86E+19,0.025,0.23700471,0.20442174,-2367.2017,100366.92,-1.0859715
7.55E-01,5.46E+19,3.59E+19,841.96291,911.32595,26292.101,1.86E+19,0.025,0.23325559,0.20240181,-2414.8531,99888.743,-0.99258733
7.60E-01,5.47E+19,3.59E+19,833.20932,903.08041,26052.187,1.86E+19,0.025,0.22957017,0.20053446,-2463.1053,99409.62,-0.91351718
7.65E-01,5.47E+19,3.60E+19,824.53806,894.83024,25810.715,1.86E+19,0.025,0.22587556,0.1987949,-2511.8677,98931.638,-0.84673929
7.70E-01,5.48E+19,3.61E+19,815.92859,886.57369,25565.832,1.86E+19,0.025,0.22199208,0.19699295,-2561.0256,98449.7,-0.78800219
7.75E-01,5.49E+19,3.62E+19,807.39624,878.30397,25313.139,1.86E+19,0.025,0.21813297,0.19533185,-2610.4503,97960.802,-0.73723352
7.80E-01,5.50E+19,3.63E+19,798.94456,870.02404,25061.745,1.86E+19,0.025,0.21431094,0.19382365,-2660.0622,97461.936,-0.69266516
7.85E-01,5.51E+19,3.64E+19,790.56008,861.72566,24799.742,1.85E+19,0.025,0.21037506,0.19231334,-2709.7496,96955.425,-0.65285313
7.90E-01,5.52E+19,3.65E+19,782.2728,853.40584,24530.148,1.85E+19,0.025,0.2064566,0.19093903,-2759.404,96442.28,-0.61742938
7.95E-01,5.53E+19,3.66E+19,774.04952,845.06712,24254.333,1.84E+19,0.025,0.20239159,0.1895307,-2808.9252,95914.942,-0.5853731
8.00E-01,5.53E+19,3.67E+19,765.92445,836.697,23979.181,1.84E+19,0.025,0.1983591,0.18825679,-2858.1886,95369.738,-0.55654818
8.05E-01,5.54E+19,3.68E+19,757.88444,828.30313,23696.896,1.83E+19,0.025,0.19431257,0.18707332,-2907.1103,94805.776,-0.5304665
8.10E-01,5.55E+19,3.70E+19,749.93088,819.87457,23388.201,1.82E+19,0.025,0.19022323,0.18594531,-2955.5848,94230.747,-0.50658679
8.15E-01,5.55E+19,3.71E+19,742.08496,811.40816,23083.971,1.81E+19,0.025,0.18613823,0.18493518,-3003.4529,93631.965,-0.48491022
8.20E-01,5.56E+19,3.73E+19,734.31212,802.90909,22777.55,1.80E+19,0.025,0.18194303,0.18389784,-3050.7217,93005.869,-0.46460301
8.25E-01,5.56E+19,3.74E+19,726.65693,794.36002,22446.058,1.79E+19,0.025,0.1778643,0.18307287,-3097.1664,92360.876,-0.44626579
8.30E-01,5.57E+19,3.76E+19,719.08852,785.77564,22108.915,1.78E+19,0.025,0.17373484,0.18230545,-3142.7465,91692.183,-0.42926753
8.35E-01,5.57E+19,3.78E+19,711.62758,777.13703,21766.752,1.76E+19,0.025,0.16970623,0.1817277,-3187.3577,90986.33,-0.41368598
8.40E-01,5.57E+19,3.79E+19,704.28307,768.45057,21406.757,1.75E+19,0.025,0.16559221,0.18114096,-3230.8373,90250.672,-0.39898393
8.45E-01,5.57E+19,3.81E+19,697.02473,759.71095,21030.312,1.73E+19,0.025,0.16149172,0.18060492,-3273.1675,89481.616,-0.38519654
8.50E-01,5.57E+19,3.83E+19,689.89818,750.91817,20649.244,1.71E+19,0.025,0.15745412,0.18016785,-3314.1716,88650.496,-0.37230957
